date,total_daily_fees_btc
2009-01-17,0.0
2009-01-21,0.0
2009-01-25,0.0
2009-01-29,0.0
2009-02-02,0.0
2009-02-06,0.0
2009-02-10,0.0
2009-02-14,0.0
2009-02-18,0.0
2009-02-22,0.0
2009-02-26,0.0
2009-03-02,0.0
2009-03-06,0.0
2009-03-10,0.0
2009-03-14,0.0
2009-03-18,0.0
2009-03-22,0.0
2009-03-26,0.0
2009-03-30,0.0
2009-04-03,0.0
2009-04-07,0.0
2009-04-11,0.0
2009-04-15,0.0
2009-04-19,0.0
2009-04-23,0.0
2009-04-27,0.0
2009-05-01,0.0
2009-05-05,0.0
2009-05-09,0.0
2009-05-13,0.0
2009-05-17,0.0
2009-05-21,0.0
2009-05-25,0.0
2009-05-29,0.0
2009-06-02,0.0
2009-06-06,0.0
2009-06-10,0.0
2009-06-14,0.0
2009-06-18,0.0
2009-06-22,0.0
2009-06-26,0.0
2009-06-30,0.0
2009-07-04,0.0
2009-07-08,0.0
2009-07-12,0.0
2009-07-16,0.0
2009-07-20,0.14
2009-07-24,0.0
2009-07-28,0.0
2009-08-01,0.0
2009-08-05,0.0
2009-08-09,0.0
2009-08-13,0.0
2009-08-17,0.0
2009-08-21,0.0
2009-08-25,0.0
2009-08-29,0.0
2009-09-02,0.0
2009-09-06,0.0
2009-09-10,0.0
2009-09-14,0.0
2009-09-18,0.0
2009-09-22,0.0
2009-09-26,0.0
2009-09-30,0.0
2009-10-04,0.0
2009-10-08,0.0
2009-10-12,0.0
2009-10-16,0.0
2009-10-20,0.12
2009-10-24,0.0
2009-10-28,0.0
2009-11-01,0.0
2009-11-05,0.0
2009-11-09,0.0
2009-11-13,0.0
2009-11-17,0.0
2009-11-21,0.0
2009-11-25,0.0
2009-11-29,0.0
2009-12-03,0.0
2009-12-07,0.0
2009-12-11,0.0
2009-12-15,0.0
2009-12-19,0.0
2009-12-23,0.0
2009-12-27,0.0
2009-12-31,0.0
2010-01-04,0.0
2010-01-08,0.0
2010-01-12,0.26
2010-01-16,0.0
2010-01-20,0.0
2010-01-24,0.0
2010-01-28,0.0
2010-02-01,0.0
2010-02-05,0.0
2010-02-09,0.44
2010-02-13,0.0
2010-02-17,0.0
2010-02-21,0.0
2010-02-25,0.0
2010-03-01,0.0
2010-03-05,0.0
2010-03-09,0.0
2010-03-13,0.0
2010-03-17,0.0
2010-03-21,0.0
2010-03-25,0.0
2010-03-29,0.0
2010-04-02,0.0
2010-04-06,0.0
2010-04-10,0.0
2010-04-14,0.0
2010-04-18,0.0
2010-04-22,0.0
2010-04-26,0.0
2010-04-30,0.0
2010-05-04,0.0
2010-05-08,0.0
2010-05-12,0.0
2010-05-16,0.0
2010-05-20,0.0
2010-05-24,0.0
2010-05-28,0.0
2010-06-01,0.0
2010-06-05,0.0
2010-06-09,0.0
2010-06-13,0.0
2010-06-17,0.0
2010-06-21,0.0
2010-06-25,0.0
2010-06-29,0.0
2010-07-03,0.0
2010-07-07,0.0
2010-07-11,0.0
2010-07-15,0.66
2010-07-19,0.09
2010-07-23,0.01
2010-07-27,0.67
2010-07-31,0.3
2010-08-04,0.0
2010-08-08,0.0
2010-08-12,0.0
2010-08-16,0.67
2010-08-20,0.0
2010-08-24,0.8
2010-08-28,1.1e-06
2010-09-01,0.0800002
2010-09-05,0.01
2010-09-09,0.1100001
2010-09-13,1e-07
2010-09-17,0.0
2010-09-21,1e-07
2010-09-25,0.0
2010-09-29,0.0
2010-10-03,0.00776625
2010-10-07,0.0
2010-10-11,1.09e-06
2010-10-15,0.0
2010-10-19,0.0
2010-10-23,0.05
2010-10-27,0.0
2010-10-31,0.0
2010-11-04,0.0
2010-11-08,0.83
2010-11-12,0.0
2010-11-16,0.0
2010-11-20,1.0
2010-11-24,0.19
2010-11-28,0.0
2010-12-02,0.06
2010-12-06,0.04518713
2010-12-10,0.07
2010-12-14,0.04892339
2010-12-18,0.06653564
2010-12-22,0.17743052
2010-12-26,0.09564519
2010-12-30,0.09238552
2011-01-03,0.72825402
2011-01-07,0.05352512
2011-01-11,0.04152517
2011-01-15,0.10493887
2011-01-19,0.05
2011-01-23,0.35905919
2011-01-27,0.59
2011-01-31,0.76
2011-02-04,0.12359852
2011-02-08,0.17736992
2011-02-12,0.74186934
2011-02-16,0.59
2011-02-20,0.2
2011-02-24,0.16769472
2011-02-28,0.51785377
2011-03-04,0.7207
2011-03-08,3.93000002
2011-03-12,1.54693618
2011-03-16,1.81
2011-03-20,2.4870787
2011-03-24,8.27023194
2011-03-28,4.41
2011-04-01,3.4
2011-04-05,5.27079999999999
2011-04-09,4.21
2011-04-13,4.06059999
2011-04-17,2.1625
2011-04-21,3.3737338
2011-04-25,8.71326591999999
2011-04-29,7.42157688999999
2011-05-03,4.81618089
2011-05-07,6.65502295999999
2011-05-11,7.99288501999999
2011-05-15,14.89642967
2011-05-19,16.22203741
2011-05-23,17.89042548
2011-05-27,13.83792316
2011-05-31,19.95330875
2011-06-04,32.17970115
2011-06-08,44.39330716
2011-06-12,44.3103694
2011-06-16,31.88585283
2011-06-20,20.2764328
2011-06-24,16.40096242
2011-06-28,19.84870564
2011-07-02,14.73519868
2011-07-06,17.00709649
2011-07-10,12.51029136
2011-07-14,13.39252803
2011-07-18,12.93738114
2011-07-22,13.54095816
2011-07-26,7.83379576999999
2011-07-30,5.71270055
2011-08-03,8.19534382
2011-08-07,6.53899155
2011-08-11,7.11131223
2011-08-15,9.74393646
2011-08-19,7.7670445
2011-08-23,6.96478529
2011-08-27,5.02820664
2011-08-31,5.91458926
2011-09-04,9.87229329
2011-09-08,4.66847138
2011-09-12,5.37417472
2011-09-16,4.96831626
2011-09-20,6.56952256
2011-09-24,6.71538477
2011-09-28,4.379026
2011-10-02,3.17980555
2011-10-06,8.08896045
2011-10-10,3.34552432
2011-10-14,3.40803011
2011-10-18,2.90288072
2011-10-22,2.81398947
2011-10-26,3.08756534
2011-10-30,3.19754829
2011-11-03,2.90902778
2011-11-07,3.48022274
2011-11-11,2.03989012
2011-11-15,2.88289742
2011-11-19,3.1302203
2011-11-23,3.51238566
2011-11-27,2.55055237
2011-12-01,4.48500523
2011-12-05,3.00216604
2011-12-09,3.0104452
2011-12-13,4.05414175
2011-12-17,3.52004317
2011-12-21,4.26075206
2011-12-25,2.92534449
2011-12-29,4.15995739
2012-01-02,5.55312158
2012-01-06,6.48923847
2012-01-10,4.89613037
2012-01-14,12.78590354
2012-01-18,10.84433779
2012-01-22,3.03810531
2012-01-26,8.95157979
2012-01-30,29.11896874
2012-02-03,6.90589652
2012-02-07,6.64074854
2012-02-11,3.91143183
2012-02-15,6.10036407
2012-02-19,2.65186887
2012-02-23,5.00951708
2012-02-27,5.66176552
2012-03-02,4.50574566
2012-03-06,4.84595258
2012-03-10,4.38179608
2012-03-14,5.17901821
2012-03-18,3.22801017
2012-03-22,3.38385442
2012-03-26,3.47762179
2012-03-30,4.39585095
